table_id,table_title,row,field,value
"headline-numbers","Headline numbers","Median asking price, dealer units posted to Marketplace","Value","$28,295"
"headline-numbers","Headline numbers","Median asking price, dealer units posted to Marketplace","Base","10,823 priced listings"
"headline-numbers","Headline numbers","Middle 50% of asking prices","Value","$19,199 – $42,000"
"headline-numbers","Headline numbers","Middle 50% of asking prices","Base","10,823 priced listings"
"headline-numbers","Headline numbers","Share of posted units priced $30,000+","Value","45%"
"headline-numbers","Headline numbers","Share of posted units priced $30,000+","Base","10,823 priced listings"
"headline-numbers","Headline numbers","Median mileage","Value","50,534 miles"
"headline-numbers","Headline numbers","Median mileage","Base","Posted units with known mileage"
"headline-numbers","Headline numbers","Median model year","Value","2023"
"headline-numbers","Headline numbers","Median model year","Base","Posted units"
"headline-numbers","Headline numbers","Listings that changed price after going live","Value","22.6%"
"headline-numbers","Headline numbers","Listings that changed price after going live","Base","10,798 comparable listings"
"headline-numbers","Headline numbers","Busiest listing day","Value","Thursday (3.3× Sunday volume)"
"headline-numbers","Headline numbers","Busiest listing day","Base","17,778 posts, last 90 days"
"headline-numbers","Headline numbers","Dealerships in sample","Value","196"
"headline-numbers","Headline numbers","Dealerships in sample","Base","U.S. rooftops on AutoLander"
"price-bands","Price bands: where dealer Marketplace inventory sits","Under $10,000","Share of posted units","6.6%"
"price-bands","Price bands: where dealer Marketplace inventory sits","Under $10,000","Count","714"
"price-bands","Price bands: where dealer Marketplace inventory sits","$10,000 – $19,999","Share of posted units","21.1%"
"price-bands","Price bands: where dealer Marketplace inventory sits","$10,000 – $19,999","Count","2,283"
"price-bands","Price bands: where dealer Marketplace inventory sits","$20,000 – $29,999","Share of posted units","26.9%"
"price-bands","Price bands: where dealer Marketplace inventory sits","$20,000 – $29,999","Count","2,907"
"price-bands","Price bands: where dealer Marketplace inventory sits","$30,000 and up","Share of posted units","45.4%"
"price-bands","Price bands: where dealer Marketplace inventory sits","$30,000 and up","Count","4,919"
"top-models","Top 10 most-listed models (dealer listings)","1","Vehicle","Ford F-150"
"top-models","Top 10 most-listed models (dealer listings)","1","Listings","370"
"top-models","Top 10 most-listed models (dealer listings)","2","Vehicle","Chevrolet Silverado 1500"
"top-models","Top 10 most-listed models (dealer listings)","2","Listings","304"
"top-models","Top 10 most-listed models (dealer listings)","3","Vehicle","Ram 1500"
"top-models","Top 10 most-listed models (dealer listings)","3","Listings","283"
"top-models","Top 10 most-listed models (dealer listings)","4","Vehicle","Jeep Wrangler"
"top-models","Top 10 most-listed models (dealer listings)","4","Listings","194"
"top-models","Top 10 most-listed models (dealer listings)","5","Vehicle","GMC Sierra 1500"
"top-models","Top 10 most-listed models (dealer listings)","5","Listings","185"
"top-models","Top 10 most-listed models (dealer listings)","6","Vehicle","Toyota Tacoma"
"top-models","Top 10 most-listed models (dealer listings)","6","Listings","144"
"top-models","Top 10 most-listed models (dealer listings)","7","Vehicle","Ram 2500"
"top-models","Top 10 most-listed models (dealer listings)","7","Listings","141"
"top-models","Top 10 most-listed models (dealer listings)","8 (tie)","Vehicle","Jeep Grand Cherokee"
"top-models","Top 10 most-listed models (dealer listings)","8 (tie)","Listings","141"
"top-models","Top 10 most-listed models (dealer listings)","9 (tie)","Vehicle","Chevrolet Equinox"
"top-models","Top 10 most-listed models (dealer listings)","9 (tie)","Listings","141"
"top-models","Top 10 most-listed models (dealer listings)","10","Vehicle","Toyota Camry"
"top-models","Top 10 most-listed models (dealer listings)","10","Listings","139"
"posting-by-day","New dealer listings by day of week (last 90 days)","Monday","Posts","2,919"
"posting-by-day","New dealer listings by day of week (last 90 days)","Monday","Share","16.4%"
"posting-by-day","New dealer listings by day of week (last 90 days)","Tuesday","Posts","2,902"
"posting-by-day","New dealer listings by day of week (last 90 days)","Tuesday","Share","16.3%"
"posting-by-day","New dealer listings by day of week (last 90 days)","Wednesday","Posts","3,017"
"posting-by-day","New dealer listings by day of week (last 90 days)","Wednesday","Share","17.0%"
"posting-by-day","New dealer listings by day of week (last 90 days)","Thursday","Posts","3,118"
"posting-by-day","New dealer listings by day of week (last 90 days)","Thursday","Share","17.5%"
"posting-by-day","New dealer listings by day of week (last 90 days)","Friday","Posts","2,830"
"posting-by-day","New dealer listings by day of week (last 90 days)","Friday","Share","15.9%"
"posting-by-day","New dealer listings by day of week (last 90 days)","Saturday","Posts","2,036"
"posting-by-day","New dealer listings by day of week (last 90 days)","Saturday","Share","11.5%"
"posting-by-day","New dealer listings by day of week (last 90 days)","Sunday","Posts","956"
"posting-by-day","New dealer listings by day of week (last 90 days)","Sunday","Share","5.4%"

# Source: https://autolander.ai/facebook-marketplace-used-car-report-2026/
# Cite as: AutoLander, "The Facebook Marketplace Used-Car Report 2026," autolander.ai, August 2026.
# Licence: https://creativecommons.org/licenses/by/4.0/
